Country,Alternative name,X,Y
Albania,Albania,32,-198
Andorra,Andorra,-198,-159
Austria,Austria,-58,-85
Belarus,Belarus,72,30
Belgium,Belgium,162,-14
Bosnia and Herzegovina,Bosnia,-8,-138
Bulgaria,Bulgaria,104,147
Croatia,Croatia,-36,-118
Czech Republic ,Czechia,-56,-39
Denmark,Denmark,-100,76
Estonia,Estonia,47,126
Finland,Finland,19,181
France,France,-223,-73
Germany,Germany,-122,-1
Greece,Greece,63,-221
Hungary,Hungary,-2,89
Iceland,Iceland,-264,227
Ireland,Ireland,-273,52
Italy,Italy,-120,-112
Kosovo,Kosovo,45,-160
Latvia,Latvia,59,98
Liechtenstein,Liechtenstein,-95,-72
Lithuania,Lithuania,30,73
Luxembourg,Luxembourg,-126,-35
Malta,Malta,-29,-277
Moldova,Moldova,131,-64
Monaco,Monaco,-126,-148
Montenegro,Montenegro,23,-152
Netherlands,Netherlands,-143,15
North Macedonia,Macedonia,50,-175
Norway,Norway,-117,149
Poland,Poland,-27,17
Portugal,Portugal,-349,-188
Romania,Romania,84,-103
Russia,Russia,182,184
San Marino,San Marino,-50,-152
Serbia,Serbia,32,-133
Slovakia,Slovakia,-1,-57
Slovenia,Slovenia,-46,-101
Spain,Spain,-299,-191
Sweden,Sweden,-57,127
Switzerland,Switzerland,-138,-91
Ukraine,Ukraine,114,-12
United Kingdom,UK,-233,19
Vatican City,Holy Sea,-40,-190
